description,description_en,transaction_type,amount_range,tax_rate,debit_account_code,credit_account_code,debit_account_type,credit_account_type,confidence,source
Currency exchange rate difference,Currency exchange rate difference,other,medium,15.0,500011,201002,,,0.95,real_odoo
Currency exchange rate difference,Currency exchange rate difference,other,medium,15.0,500011,102014,,,0.95,real_odoo
Currency exchange rate difference,Currency exchange rate difference,other,medium,15.0,400001,201002,,,0.95,real_odoo
Currency exchange rate difference,Currency exchange rate difference,other,medium,15.0,400001,102014,,,0.95,real_odoo
Currency exchange rate difference,Currency exchange rate difference,other,medium,15.0,104041,201002,,,0.95,real_odoo
Currency exchange rate difference,Currency exchange rate difference,other,medium,15.0,104041,102014,,,0.95,real_odoo
WPC Flat Door,WPC Flat Door,invoice,xlarge,0.0,103022,201002,,,0.95,real_odoo
Light Grey Internal Cladding,Light Grey Internal Cladding,invoice,xlarge,0.0,103022,201002,,,0.95,real_odoo
Marine Plywood,Marine Plywood,invoice,xlarge,0.0,103022,201002,,,0.95,real_odoo
Container Rental,Container Rental,invoice,large,15.0,400034,201002,,,0.95,real_odoo
Container Rental,Container Rental,invoice,large,15.0,104041,201002,,,0.95,real_odoo
10 Ton Forklift,10 Ton Forklift,invoice,large,15.0,400034,201002,,,0.95,real_odoo
10 Ton Forklift,10 Ton Forklift,invoice,large,15.0,104041,201002,,,0.95,real_odoo
"Equipment Rental
SCAFFOLDING 250 METER LENGTH , 4 METER HIGHT WITH ALL FITTINGS AND PLATFORM","Equipment Rental
SCAFFOLDING 250 METER LENGTH , 4 METER HIGHT WITH ALL FITTINGS AND PLATFORM",invoice,large,0.0,400034,201002,,,0.95,real_odoo
Transportation,Transportation,invoice,medium,15.0,410022,201002,,,0.95,real_odoo
Transportation,Transportation,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
Steel Cutting Disk 4.5,Steel Cutting Disk 4.5,invoice,medium,15.0,410004,201002,,,0.95,real_odoo
Steel Cutting Disk 4.5,Steel Cutting Disk 4.5,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
duct tape,duct tape,invoice,small,15.0,410004,201002,,,0.95,real_odoo
duct tape,duct tape,invoice,small,15.0,400026,201002,,,0.95,real_odoo
